,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
84,SMARCA4,0.0029273664691361013,1.4583672,H2AFZ,0.0011121434790412035,0.5425053,PTP4A1,0.04725025355240138,0.90361035,TNFRSF4,0.21387593498433874,3.6432104,CREBL2,0.2560152115446874,1.9154338,ABHD17B,0.18071630928409077,1.9110678
85,RMDN3,0.003019257409893106,23.816584,ABRAXAS2,0.001166749515644607,0.69812536,CCDC28A,0.04861365568665445,2.2147336,ST3GAL6,0.2112151561967793,1.7744216,GLT8D1,0.25737603144123333,1.8972341,SV2B,0.18768874784230427,4.8392034
86,CHRD,0.0032904950260624925,2.1129055,ENO1,0.0011735974727935248,0.35392517,RPL23A,0.04831399743975727,0.47121266,MTMR8,0.21033961896914022,1.4948084,YIPF3,0.2576015588532984,1.3466994,CHCHD3,0.17787480134953565,1.2181557
87,EXOSC7,0.0033574222328731527,0.94538087,HOXC12,0.0013510334088175668,1.882227,COMMD2,0.04946877575904665,1.037935,BET1L,0.2118553206604782,1.7525122,H2A-VII,0.25874507980166256,1.8792552,MCOLN1,0.1884115921467268,4.713929
88,CCDC88C,0.0034526639564180154,1.3610991,C12orf66,0.0014206571208013913,0.42317986,ASAH1,0.05094638304783107,2.393323,TNC,0.21673451189370507,3.8037913,SLC16A9,0.2614362371233422,1.8898469,GPR153,0.1884115921467268,4.713929
89,TRARG1,0.0036714262182851037,1.5487111,LIFR,0.001435894364484589,1.3789386,COMTD1,0.050873089386154036,1.5009052,DAAM2,0.21673451189370507,3.8037913,EMC3,0.26058972134353514,1.2976124,GNE,0.18630942415664498,1.9041219
90,CYP1B1,0.004096283092269551,1.4538822,GPX8,0.0014896609848701423,2.5294878,SUMO2,0.05073986859435543,0.65023136,COL4A1,0.21372030001489611,1.601588,GINS3,0.26193216385345575,1.5086915,ZC3H12B,0.19325564824746871,4.450277
91,DACT1,0.004124835574721719,1.8258358,LYPD6B,0.0014694005693398624,1.6453359,XPNPEP1,0.05243854559235033,1.1670661,CMIP,0.2158934107757618,2.2904236,USP49,0.26315139695755224,1.9079554,EEF1A2,0.19325564824746871,4.450277
92,PDZRN3,0.004188840123953685,1.3679463,RPL11,0.0015102967189471286,0.38051796,NHLRC3,0.0532806314327341,2.297738,TUBB4B,0.21367453270942335,0.6374509,HOXA2,0.26672580408288743,3.0739005,USP45,0.189565159273058,2.4735744
93,IRF6,0.004217340666359326,1.4246355,MRPS17,0.0015162406419055756,0.8341211,CCNG1,0.05293481227931752,0.9968425,RABGAP1,0.21511584158191047,1.7469884,C1H21ORF59,0.2661296186645546,2.7851758,RBM7,0.18483516362851904,1.5695338
