,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges
46,ESRP2,1.8133884753333565e-05,1.2856092,LSAMP,0.0014236435681030878,0.91211665,LPAR1,3.862671538185007e-12,1.7836865,BTG1,6.7523999702678865e-12,1.0985411,SOX5,0.15368937740165495,2.9732695,E2F3,0.2057982966358529,4.1084523,PURH,0.10789366947087721,0.85514086,ELOVL1,0.2643077260339044,2.8658116,BTBD7,0.21944684070877804,3.5518796,LRP1,0.24696293377002113,3.0290926,CBLB,0.22561437620330693,3.4792886
47,PRTG,2.466905399140079e-05,0.5398099,LSP1,0.001424245069332665,0.6420111,FGFRL1,6.548481403450749e-12,3.6989155,HOXD12,7.997028589321871e-12,1.1391164,BRD1,0.1541235308987497,0.777039,SDR16C5,0.2062070334576172,2.3171809,RBM26,0.10838699466779371,0.9606053,MPHOSPH10,0.2607105043171895,1.505323,ARPC1B,0.21944684070877804,3.5518796,LYSMD2,0.24394084102848262,1.962927,SLC39A9,0.22304081056586073,2.1729422
48,PLAC8L1,2.8253171724937898e-05,3.3027184,GNAI3,0.0014463969305509783,0.3314919,SRXN1,8.342007172392442e-12,2.586525,TMEM123,9.684252147636128e-12,1.3118428,TXNDC11,0.15476427160418427,1.5789475,PAQR7,0.20909827759129015,3.7311294,GNG12,0.11279242747022114,2.1994364,LRRC20,0.26019600661466213,1.4751036,TENT4B,0.221678834431217,3.516946,NUP54,0.25156809956152126,2.9558928,TM2D2,0.2247829137365584,2.0935094
49,B4GALT1,3.6915177237987126e-05,1.2094043,LLPH,0.0016461000386807502,0.44594166,ID3,9.402307815892202e-12,0.9816891,PKM,1.0995141848565796e-11,0.5108111,OPN5L2,0.15895368281837352,24.40721,DAAM2,0.20839077293733937,2.3116121,GTF2A2,0.11202673110512752,0.99180216,TMEM183A,0.26679005916723014,1.475709,ACSL1,0.21994423980726363,2.1552353,CEP164,0.2517311115296101,2.9752133,EIF4G1,0.2271058908913039,2.0579398
50,SNX10,4.3033276280864905e-05,1.7691106,P4HA2,0.0016972682014339783,1.1369942,MDK,1.4490593692459877e-11,0.72542155,PDE6D,2.124251102728896e-11,1.3245894,PCSK2,0.1590693824032363,3.3052466,AMN1,0.21185755204014228,2.2792664,VTG1,0.11665989229438964,3.9009645,KIAA0100,0.2752111888147863,2.7183707,LRRC3B,0.2272039533117989,3.4059935,TPR,0.2458792038461596,1.5211365,GATAD1,0.22929361950303728,2.1150906
51,UCH-L1,7.089610904655763e-05,0.6527757,MVK,0.0016970471638204862,0.59001815,GALNT1,1.7917653373273275e-11,1.2609715,CKAP2,2.1917376304847376e-11,0.847549,HERPUD2,0.1587010454016995,0.94942224,NECTIN4,0.21388701733008558,3.6054292,MRPL19,0.11731082492570755,0.94496405,RBBP5,0.27026373333298914,1.474854,ADAMTS3,0.22743858358374228,3.3927774,NECTIN1,0.2565805724974342,2.9075177,EIF2A,0.23153207980732698,1.6080599
52,S1PR1,8.592093017548563e-05,1.9061475,ARHGDIB,0.001768822560632773,0.45128605,QPCT,1.8069774970769907e-11,1.4195819,HOXB5,3.642534526911782e-11,1.1352985,FBXL8,0.15975385496277303,2.1497414,MIA3,0.21468721468803825,1.5015999,DTD1,0.11751151313746892,1.0900075,SPATA17,0.27453146762855596,2.6763475,USP34,0.22647531469753399,2.1633515,UBE2J1,0.25652580762958677,2.93812,BCLAF3,0.24051349095019517,3.328033
53,B3GNT7,9.281037953194145e-05,1.9412863,TMEM120A,0.002048672572243331,1.1925851,OLFML3,2.6063011028675225e-11,2.53085,PAK1,4.9120501758187803e-11,1.8538139,EARS2,0.16152359138140313,1.7840712,WSCD1,0.22153174147848456,3.489782,P3H4,0.12000094766050118,2.6563542,PCGF6,0.2769388918117339,2.6146305,GMPPB,0.23652925262965294,1.6704887,ANKRD26,0.2579527862970629,2.8733687,PDHA1,0.23342251248828488,1.3010131
54,ARHGEF9,0.00010673827636926275,0.9141802,FGF10,0.0020785879078524853,1.2101426,LFNG,3.464433710730951e-11,1.0777738,TCF7L2,4.881159185050697e-11,1.3586626,MARK1,0.1674199223466127,1.734624,FIBIN,0.2201338133029533,1.4936678,PSMA6,0.11796335578503296,0.75565845,SH3GL1,0.2773269679625487,1.792487,JAM3,0.23618045396091303,1.418339,SRSF3,0.25090259856834507,0.80543435,RRP9,0.23703898638700294,1.5735552
55,COL4A1,0.00012836943175712704,1.1096303,NEBL,0.0024390017714911636,1.2387878,CYR61,6.289364190747942e-11,1.41766,SELENOU,6.246057872656638e-11,1.6805915,HDLBP,0.16691738591156585,0.6725968,RSBN1L,0.22339352065030524,1.455829,MAST2,0.1210276371415898,3.764426,ZNF638,0.27844349162663734,2.6163657,TPD52,0.23885967304535333,1.5820948,MCM8,0.25892222598955356,2.8635287,BRF1,0.24501618737959396,3.1114378
