index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden,pr_NearestNeighbors,pr_SVM-Linear,pr_SVM-RBF,pr_DecisionTree,pr_RandomForest,pr_NeuralNet,pr_NaiveBayes,pr_LDA
24985-2,2,bcFPVJ,6s1,853.0,None,d3,d3,1144,853.0,-0.12164008,-0.23545994,G1,3,SPP,LPM1,IM,pNTB,LPM1,SPP,strLPM,strLPM
24986-2,2,bcAVNM,6s1,719.0,None,d3,d3,1100,719.0,0.30089024,-0.120269775,S,0,NC,LPM1,LPM1,SOM,LPM1,aPSM,LPM1,LPM1
25109-2,2,bcAUHD,6s1,1310.0,None,d3,d3,1296,1310.0,0.49646398,-0.115086764,S,8,LPM1,aNTB1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
25110-2,2,bcHUHY,6s1,1030.0,None,d3,d3,1187,1030.0,-0.12967792,-0.1425461,G1,4,ALNT,IM,LPM1,SOM,IM,ALNT,LPM1,LPM1
25111-2,2,bcFVFS,6s1,820.0,None,d3,d3,1107,820.0,-0.32499477,-0.10878146,G1,0,pNTB,LPM1,LPM1,pNTB,pNTB,pNTB,LPM1,LPM1
25235-2,2,bcCXSF,6s1,1437.0,None,d3,d3,1008,1437.0,-0.15352714,-0.17084357,G1,1,EPID,IM,IM,pNTB,LPM1,IM,IM,IM
25236-2,2,bcHTPZ,6s1,963.0,None,d3,d3,1124,963.0,-0.06632196,-0.06593515,G1,4,IM,IM,IM,LPM1,IM,IM,IM,IM
25237-2,2,bcGXJE,6s1,811.0,None,d3,d3,1106,811.0,-0.027554724,-0.012899468,G1,2,NOTO,pPSM,aPSM,LPM1,LPM1,pPSM,IM,aPSM
25238-2,2,bcGVDT,6s1,654.0,None,d3,d3,1092,654.0,-0.07000017,-0.19565721,G1,5,LPM1,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
25239-2,2,bcFCWC,6s1,642.0,None,d3,d3,1110,642.0,-0.06660974,0.5341548,G2M,2,SOM,LPM1,LPM1,SOM,SOM,aNTB1,LPM1,SOM
0-3,3,bcANUZ,35s2,12794.0,None,d4,d4,3045,12794.0,-0.094343275,-0.51156205,G1,10,LPM1,LPM1,LPM1,SOM,LPM2,LPM1,LPM1,LPM1
1-3,3,bcHRIK,35s2,2670.0,None,d4,d4,1249,2670.0,-0.0048902584,-0.20556493,G1,3,NMP,LPM1,LPM1,SOM,LPM1,LPM1,LPM1,LPM1
