,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges
229,ARPP19,0.13250432974589074,0.1340843,HDAC4,0.29795641556775443,0.43264756,KIF23,0.006480404930041856,0.64046,FBXO21,0.11909475763858648,1.0933264,AKR1D1,0.08368110747801344,1.5362914,ACTN1,0.0008327886244475979,0.673831,ABCB8,0.40444210964725136,1.2718534,CDKAL1,0.05650652115557286,1.7874831,DHRS7,0.016818114445171284,1.5113539,RIOX1,0.44301578508448436,1.1588619,NBAS,0.6291152595064586,1.5911217,HMP19,0.4964310704168493,1.9893973,CTDP1,0.5048862614075541,1.9862965,ZCRB1,0.15389419869920667,2.7347152
230,MZT1,0.13277993339132813,0.4168621,ISLR,0.2993244018284791,1.1245242,CLSTN1,0.006638851113251999,0.4461285,GINS1,0.12330901222687154,0.5618389,MRPL20,0.0838920787955606,0.31209105,TPM4,0.0008587971569812266,0.5646395,CBX1,0.40597432932984034,0.277184,ESD,0.05657209811225065,1.1976867,DTD2,0.01696654066438812,1.7756413,NAXE,0.4433564525756637,0.93345165,PPHLN1,0.6303170424678625,0.8104833,METAP1,0.49682084047613606,2.0573654,TRMU,0.5052008676355249,1.9728286,PTBP1,0.15472100720184276,0.95778054
231,EIF3G,0.13316749390858762,0.15228036,HTD2,0.2998041854847223,0.26181614,NDUFAB1,0.006826936134480572,0.30173722,HMGCR,0.12633379453805227,0.3045662,RAD23A,0.08408655252245263,0.18736523,UBR7,0.0008610508373481358,0.687733,GFOD2,0.4067122056777521,0.96564764,ZNF706,0.05673266403567053,0.7478339,SS18L1,0.01748572710882568,1.0031133,EIF5,0.44460684657996274,0.2930207,SCG3,0.6308829262907416,1.5640051,SAE1,0.49908471956812095,2.0830054,SDC3,0.5065390953353479,0.84027344,FARP1,0.15504345350017085,1.6325026
232,UMPS,0.133551068594607,0.362558,POSTN,0.30256549768418384,0.30070958,FAM188A,0.006849246821499664,0.810408,ASPM,0.12748075483093071,0.40611997,TIMM44,0.08429411053077147,0.17185442,EZR,0.0008732243242784208,2.2850347,HNRNPDL,0.4068598769173164,0.114849366,LRRC59,0.057290266935090955,1.1908987,OCIAD1,0.017550248544323112,1.1248105,COX7A2L,0.4452327972847291,0.4032817,NPC2,0.6322985825052485,1.8347895,SLC25A14,0.49963199314846574,0.6362303,MACF1,0.5097742376988883,1.2654521,CEP70,0.15545877680168968,2.7098505
233,MRPL41,0.13418412760250703,0.4119497,QPCT,0.30624698432495534,0.22788322,BAZ1B,0.007174027606320243,0.36482203,SRSF4,0.13056742985945194,0.5688812,B3GNT5,0.08512421832042691,0.95932174,TOMM22,0.0009335983314554783,0.5440781,NCOA4,0.407687426809609,0.33664882,SMIM20,0.057600366365767465,1.2294273,DEK,0.017766829780445966,0.749369,ACTR6,0.4455744365830834,0.51353544,PXMP4,0.6324402223881743,0.48991016,TNFRSF9,0.4999448638959041,2.0036316,RAB29,0.5115146152501712,1.9287398,GBA2,0.15629195619749775,2.701012
234,ZEB1,0.13435007911818778,0.4622466,TMED7,0.30650539791653586,0.09849783,NDUFS5,0.0074292059157137925,0.31251955,RPL35,0.13108554430853694,0.080938615,C5H11ORF96,0.08575865111040061,2.0611503,SUMO1,0.0009428828372850617,0.6433945,SESTD1,0.40792405377872065,0.5784031,DDX51,0.05790442724220003,0.40702784,CTSB,0.017837721198874026,2.827255,ARHGEF11,0.44751321197729377,1.9232368,FUBP3,0.6327943810819808,0.41910776,ZFYVE1,0.5003360984897083,2.0078235,RBM38,0.5133374119880258,0.5594015,PRRG1,0.15768810926206278,2.529904
235,FAM161A,0.13451130142693332,0.13466592,AACS,0.30679379886559643,1.0252639,ANKH,0.007584751901873113,1.4123392,UNG,0.13170359765832168,0.38901073,FARSA,0.08726984746185688,0.42981794,IFT20,0.0009463249526239422,0.8149805,FBXO34,0.40795363790291406,1.4602852,RAB2A,0.05868920702309441,0.56937987,MARS,0.01829620545157929,0.9136997,ACVR2A,0.44865590463823934,0.7999818,ATG10,0.6335029510387483,1.4917847,EVX1,0.50064920304192,1.9904208,FUT11,0.5140515998558383,1.9093481,HOXA4,0.15838971948303404,1.6766378
236,EFNB1,0.13484398870924177,0.6161746,MFAP1,0.30965766397396577,0.25448605,BZW1,0.0076498151333020785,0.22854057,IPP,0.13237037613131244,1.1466233,HAPLN1,0.08782945445888948,0.532986,PTGES3,0.000986908360817326,0.41511473,COLGALT1,0.4097013630742192,1.1481062,HACD2,0.05910379450826083,1.032455,UQCRFS1,0.018388569358461823,0.47790927,FKBP2,0.44945677404772744,1.1513636,SENP6,0.6335738265402697,1.5741817,RSBN1,0.5008057942628356,1.9921848,YOD1,0.5152430604995324,1.8984107,SMARCB1,0.15857721413697046,0.877883
237,PSMA2,0.13553093523776602,0.20185389,CCDC12,0.31257941775079223,0.12956493,HMGN3,0.007787832969834913,0.61562395,USP7,0.13312143594495057,0.21180037,SUB1,0.08905482071240343,0.18541797,MEMO1,0.001032830692519647,0.6752163,BNIP3L,0.4097903492483169,0.39199263,VPS35L,0.05942961721489985,1.4068612,EIF3G,0.018549068569486547,0.6340688,EIF5B,0.449571250108715,0.21789032,CLEC3B,0.6338573621662315,1.5486097,APMAP,0.5009624114400415,1.9939505,UPF2,0.5157200459565534,0.9194375,SSBP1,0.1589996913730305,1.2574477
238,STAU1,0.13582616708558432,0.22442062,CSRP3,0.31712306576972715,2.6702235,NUP85,0.008128118118499636,0.42108864,WNT5B,0.13327905116540528,1.197879,TMEM68,0.08973506642673876,1.3729857,COPB2,0.0010420553464272088,0.63416606,SNRPD1,0.40987934691343153,0.1146095,IDH1,0.05948279891748282,1.1961199,HADHB,0.02004958874027174,0.84255254,USP36,0.45088891252349783,1.1458582,PYM1,0.6347792240902788,0.80286026,SUFU,0.5028438402632501,1.9911042,EIF2D,0.5160381635104218,1.1026932,RIT1,0.1592818157075111,1.4455773
