id,Myogenesis,Adipogenesis,Angiogenesis,Apoptosis,G2/_checkpoint,Hypoxia,Inflammatory_response,Pluripotency,Cell_cycle,Er_stress,Skeletal_muscle_cell_differentiation,Skeletal_muscle_contraction,Go_skeletal_muscle_tissue_regeneration,Go_skeletal_muscle_organ_development,PSM,NMP,Neural
cell_89859-0,0.0332903,-0.0028755993,-0.16229282,0.024766674,-0.14099967,-0.0069381883,-0.0529877,0.3572981,-0.2120491,-0.05491214,0.060354613,-0.07694023,-0.015500279,-0.08122176,-0.34286618,,-0.49641085
cell_90028-0,-0.10544037,-0.020099623,-0.1274125,-0.00073160755,-0.1834419,0.036225576,-0.03708607,0.32309726,-0.010503956,-0.07449933,-0.011735867,0.017792769,0.003505621,-0.10178037,-0.34286618,,-0.49641085
cell_90106-0,-0.0350594,-0.14565118,-0.34177822,-0.18331085,-0.14828016,-0.04462493,-0.02657221,0.055770032,-0.452091,-0.21900353,0.035663,-0.112242796,-0.27864796,-0.08644535,-0.34286618,,-0.49641085
cell_90719-0,-0.060877237,-0.03572367,-0.017187348,-0.04406435,-0.26786396,-0.13551597,-0.07080684,0.24206161,-0.19852673,-0.0269112,-0.12839949,-0.16906992,-0.20873588,-0.09570177,-0.34286618,,-0.49641085
cell_90884-0,-0.071235925,-0.10303463,-0.14582849,-0.02805493,-0.25079343,0.0013601944,-0.035284393,0.34680423,-0.21522832,0.046599,-0.08039131,-0.18568966,0.040510673,-0.06276122,-0.05131701,,-0.19723813
cell_91002-0,-0.04765367,0.024684569,-0.112724,-0.099714585,0.035261482,0.0043975916,0.012088333,0.27386403,0.01881354,0.044222064,0.010673451,-0.169348,0.06432377,-0.049418427,-0.05416667,,-0.49641085
cell_91085-0,-0.021511981,0.019790113,-0.045641884,0.03624053,-0.08279416,-0.009315259,-0.019417679,0.11546083,-0.047337547,-0.05923865,-0.05680354,-0.048029784,-0.045815725,-0.05411751,-0.34286618,,-0.20147222
cell_91094-0,-0.033064026,-0.01435663,-0.15190816,-0.06991197,-0.12441734,-0.17435363,-0.03324963,-0.0049760207,-0.10540681,0.027168533,-0.13800408,0.08329308,-0.011050747,-0.107197426,0.9585438,,-0.49641085
cell_91103-0,-0.017893065,0.0040285145,-0.08337932,0.00236337,-0.10000052,-0.026455073,-0.009912851,0.035768483,-0.06307711,0.059104085,-0.08523874,-0.14471123,0.016553594,-0.07979854,-0.34286618,,0.7019107
cell_91105-0,-0.038770985,0.12167579,0.015466486,-0.026082002,0.04987127,-0.051515248,-0.07658193,0.06426844,0.20263723,-0.0073819514,-0.05166787,-0.10591432,0.006199764,-0.107252344,-0.34286618,,0.07678354
cell_91117-0,-0.07166561,-0.022799855,-0.12294828,-0.0553913,-0.1941856,-0.07118629,-0.06896639,-0.06446939,-0.25118494,-0.05724495,-0.10221874,-0.059176035,-0.11935437,-0.107010365,0.57505155,,0.40166488
cell_91140-0,0.0050708535,-0.044983797,-0.051038448,-0.06199642,-0.23822033,-0.029279703,0.041350767,-0.040505715,-0.18281084,-0.07606317,-0.10190803,-0.036778778,-0.12944847,-0.039450936,0.02651698,,-0.49641085
cell_91141-0,-0.020953443,-0.027860105,-0.17418408,-0.0749889,-0.11073853,-0.05249455,0.008413558,-0.038666323,-0.23170948,-0.033892088,0.023172261,0.031681843,0.32048374,-0.001403129,0.41067013,,-0.49641085
cell_91143-0,-0.06805163,0.068819225,-0.16323747,-0.07119235,0.051050156,-0.05150627,0.0039779497,-0.17722075,0.122289434,0.022044782,-0.026139453,0.0022689938,0.12653607,0.039576683,0.341139,,-0.49641085
cell_91145-0,0.072068155,0.017233018,-0.13408054,-0.07011303,-0.09550188,-0.1340837,-0.021037174,-0.0442966,-0.11220967,-0.01409759,0.09706243,0.111463524,-0.08966998,0.0864161,0.40001503,,-0.49641085
cell_91167-0,-0.037430946,-0.013653014,0.03281936,-0.053136535,-0.08786312,-0.121551305,-0.03600812,-0.050918814,-0.24342084,-0.035376173,0.06845887,-0.0132422075,0.027826045,0.01750428,1.2159708,,-0.13199015
cell_91176-0,-0.03615257,0.10093111,-0.16000302,-0.06566866,-0.020078102,-0.06220873,-0.07216497,0.13195162,0.09433485,0.015652671,-0.034942895,-0.09510435,0.076118015,-0.041496582,-0.34286618,,-0.21929468
cell_91186-0,0.067291915,0.11032243,-0.09676669,0.023045775,0.0023799413,0.09730701,-0.050584357,0.028504185,0.008876339,-0.013588774,-0.132317,-0.14735785,0.089533456,-0.062164187,0.59877986,,0.43236652
cell_91192-0,0.071926996,0.017798465,-0.03901988,0.043237545,-0.19626912,-0.04546692,0.030756745,0.0067724143,-0.19486359,0.01758186,-0.043447167,0.17884651,-0.045951467,-0.0854936,0.4185206,,-0.49641085
cell_91201-0,-0.09374054,-0.022624852,-0.026954232,-0.04382846,-0.07520864,0.08843792,-0.021228503,-0.022723874,-0.016110923,-0.054441586,-0.026500281,-0.07682629,0.14442058,-0.061095096,-0.34286618,,-0.49641085
cell_91208-0,-0.048874196,0.13109683,0.1301173,-0.023970192,0.02185307,-0.05586869,-0.04970189,0.10127779,0.0020001584,-0.004722907,-0.10390063,0.11254189,0.02372118,-0.08818506,-0.34286618,,0.5989684
cell_91212-0,-0.053553957,0.10153367,-0.03250186,-0.080692075,-0.13727815,0.0075993016,-0.02896324,0.023209415,-0.18062435,-0.07756497,-0.15308508,0.18774477,-0.055884168,-0.099493586,-0.34286618,,0.59776324
cell_91219-0,-0.13238029,-0.16222888,0.036961727,-0.07729291,-0.20979996,-0.057938803,-0.08120052,0.029662983,-0.27776846,-0.160053,-0.008828869,-0.058073305,-0.21067064,-0.064325385,-0.34286618,,-0.49641085
cell_91222-0,0.025367169,0.014140134,0.13966203,-0.05736656,-0.04246134,0.091904275,-0.020118648,0.02388959,-0.062152185,-0.072202936,-0.030157665,0.16511269,0.06399815,-0.013716084,-0.34286618,,-0.06309707
cell_91230-0,0.046327088,-0.025826015,-0.043356884,-0.1491549,-0.077406235,0.0077719535,-0.025756322,0.03987517,-0.036937885,0.077061005,-0.16146919,-0.004587224,0.0034306368,-0.13559291,-0.34286618,,-0.12712981
cell_91231-0,-0.050249584,0.06617911,0.057511963,-0.09099839,-0.19718876,-0.060116142,-0.0716344,0.2882783,-0.07937439,-0.027690778,-0.020964943,-0.00756242,0.045520503,-0.09604405,-0.34286618,,0.056532513
cell_91238-0,-0.07093063,-0.065587364,-0.047899287,-0.07843012,-0.12191535,-0.086597495,-0.036590286,0.09806787,-0.06783009,-0.06487089,-0.12756506,-0.06502213,-0.051244337,-0.113085434,-0.34286618,,-0.08402861
cell_91248-0,-0.035369385,-0.0040455554,-0.121490724,-0.09599158,-0.27302536,-0.14544363,0.016588485,-0.26671395,-0.10071312,-0.16736643,-0.034060873,0.18307903,-0.015469485,-0.038276542,0.71487314,,-0.49641085
cell_91257-0,-0.066463076,0.09970979,0.14090161,-0.04566097,0.0077789025,-0.006696614,-0.06710475,0.028070282,0.26977962,-0.18598135,-0.12935594,0.026414003,-0.06801239,-0.08398527,0.74259686,,1.3189226
cell_91261-0,-0.056655303,0.10239547,-0.13352665,-0.011057564,0.054506306,0.03990349,-0.010063276,0.16297491,0.118386015,0.08529477,0.019297568,0.14282414,-0.034714237,0.026785722,0.21424724,,0.11038083
cell_91269-0,-0.052802086,-0.034877244,-0.052246366,0.012512279,-0.052009534,0.0014827756,0.041824125,-0.06134155,-0.14614235,-0.033181928,-0.07210777,0.027996402,-0.026225505,-0.06421893,0.7004418,,-0.49641085
