id	x	y
cell_13063-0	4.253083	3.1064787
cell_13068-0	9.04201	1.8245897
cell_13136-0	3.5492396	0.7235806
cell_13139-0	-1.2896408	5.2076406
cell_13145-0	7.7699933	2.237126
cell_13149-0	10.388483	2.9754574
cell_13154-0	-0.6580932	2.0164433
cell_13166-0	-1.867236	3.0455
cell_13174-0	7.1070137	4.9894476
cell_13176-0	5.3469615	3.506052
cell_13188-0	9.5903225	1.6432225
cell_13193-0	7.709383	0.804361
cell_13236-0	0.5278833	4.1373434
cell_13237-0	0.12558745	3.0861847
cell_13256-0	7.5902658	1.2073631
cell_13294-0	-2.0596573	5.2097535
cell_13295-0	8.463766	1.4290036
cell_13299-0	9.906105	5.9280577
cell_13312-0	0.7299715	2.2905607
cell_13328-0	11.325758	2.5305674
cell_13335-0	3.8385627	1.311816
cell_13348-0	0.5118854	2.5025575
cell_13357-0	11.485944	3.7832537
cell_13386-0	0.9606691	2.7181008
cell_13393-0	1.968959	1.7289506
cell_13399-0	9.465792	1.5266579
cell_13401-0	3.1911247	1.5910274
cell_13419-0	4.4229803	1.2599275
cell_13420-0	0.07151752	2.274747
cell_13439-0	-2.489662	2.653571
cell_13441-0	-1.5350237	3.7729955
cell_13446-0	-2.2224143	4.7739296
cell_13473-0	9.567825	3.5566294
cell_13479-0	-2.83829	4.187207
cell_13485-0	10.743868	1.929205
cell_13492-0	-1.7505438	2.1458945
cell_13496-0	-1.6164994	5.341057
cell_13508-0	11.147407	2.244852
cell_13515-0	0.5042125	2.018152
cell_13523-0	10.541571	4.12403
cell_13551-0	11.661269	3.3792222
cell_13566-0	5.90167	1.2201114
cell_13572-0	6.601088	1.0064594
cell_13588-0	-2.3813336	4.3111796
cell_13595-0	0.4397281	1.8940315
cell_13600-0	4.100494	2.4268417
cell_13611-0	7.3718743	0.94071287
cell_13627-0	8.780602	0.6151898
cell_13636-0	10.228215	0.9101635
cell_13642-0	1.5666623	3.0361283
cell_13644-0	-0.71665335	4.801639
cell_13650-0	10.792992	2.443191
cell_13654-0	4.8758245	1.3172228
cell_13658-0	8.362541	2.278716
cell_13672-0	-2.0380743	4.286439
cell_13675-0	10.817725	2.337071
cell_13678-0	9.984291	1.0928407
cell_13688-0	0.3633451	1.4965084
cell_13700-0	5.771243	4.496736
cell_13708-0	5.2864075	1.7372096
cell_13725-0	9.214698	1.7747822
cell_13731-0	6.943957	1.7253257
cell_13749-0	0.122282565	1.868601
cell_13760-0	-1.3965821	2.628332
cell_13765-0	8.564251	0.91563606
cell_13808-0	0.3350395	5.3274436
cell_13846-0	3.8555858	0.40129206
cell_13849-0	11.135564	4.625749
cell_13853-0	8.679202	5.8947983
cell_13868-0	4.222656	0.95323694
cell_13885-0	8.869538	1.6589651
cell_13892-0	-1.9709094	3.8371315
cell_13909-0	-0.7377712	2.2284915
cell_13924-0	-0.7227796	1.9845517
cell_13928-0	4.7213364	3.9187958
cell_13930-0	-2.840826	4.839697
cell_13932-0	6.454728	2.488107
cell_13934-0	8.238893	1.9515225
cell_13962-0	-2.0107212	3.9092011
cell_13965-0	5.337187	2.6691697
cell_16334-0	1.0970414	3.1204598
cell_16335-0	7.9053617	3.4132588
cell_16344-0	10.207073	3.5195417
cell_16345-0	4.8878846	2.5155106
cell_16359-0	9.119718	0.80412483
cell_16375-0	8.972622	1.2123725
cell_16424-0	4.9689684	3.81211
cell_16425-0	7.5595536	2.74719
cell_16432-0	4.399782	2.0318882
cell_16440-0	7.471599	3.2968621
cell_16442-0	5.4949903	2.2836246
cell_16449-0	6.97708	3.7541242
cell_16478-0	6.080702	2.0465713
cell_16508-0	-1.5403281	2.4394522
cell_16510-0	8.810048	2.0421422
cell_16519-0	5.015786	3.104276
cell_16523-0	11.679301	3.192045
cell_16536-0	5.1534867	3.5154405
