,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
291,SRPRA,0.4599638885267435,0.2386141,COX7B,0.35488462170182344,0.13621278,ARMC6,0.5707688124058778,0.29168427,CRELD2,0.3212653219078413,1.0881051,TMEM183A,0.39481472153721686,0.3792314,ACAD9,0.01727296323782066,1.1520367,LSM14A,0.2905233763360705,0.5887349
292,EIF2B5,0.4611753765409127,0.41635785,HOXA5,0.35524491647461265,0.5920642,C5orf30,0.571147294182296,0.3618321,MTA1,0.3216391967465506,0.48877966,CCDC134,0.3959828565918381,0.6065355,HIPK2,0.01751977580923744,1.8903652,CSNK1A1L,0.2906987032022931,0.9786595
293,SPRYD7,0.46174387478191325,0.3759266,SRSF1,0.35544153815227586,0.053015288,KLHL15,0.5730414925934835,0.791837,NDUFAF1,0.32197592688581533,0.3237865,NDUFB10,0.3990645651724275,0.17554109,VPS35,0.0176271105666851,1.3143243,COLGALT1,0.29078639332163747,2.7594423
294,CELF1,0.46741215850082796,0.59517515,CYB561A3,0.35557265740773547,1.585028,SNTB2,0.5731362806965801,0.7761665,NANS,0.32325009420407436,0.7162235,ATP6V0E2,0.39945623252702545,0.6115312,FARSB,0.017774010606023318,1.1136093,ARCN1,0.2909618269346711,0.7265409
295,AP5M1,0.4684434097012945,0.3432458,KHDRBS3,0.3559661982183999,1.0995078,CCNG1,0.5735629191724513,0.12109887,RPA4,0.3235503753028719,0.32060108,KLHDC2,0.4005890143565203,0.56051636,PTP4A1,0.017956955617713873,1.0615509,NDUFAB1,0.2909618269346711,0.4705614
296,TCERG1,0.46936113388536504,0.2606619,HNRNPA2B1,0.356228711283489,0.105068244,MCTS1,0.5744640944296291,0.054264966,TRA2A,0.3267898730632621,0.3235145,ZMAT2,0.4008506993868489,0.37186378,CTDSPL,0.018022691736090717,2.1344457,BSG,0.29122511079568225,1.7295465
297,KIDINS220,0.47012666284378857,0.36101273,HNRNPDL,0.3573457528433921,0.14987616,NPM3,0.5762209352520289,0.057144307,GOLGA7,0.32841749546518073,0.30591962,SEC31B,0.40119977244218363,0.66799015,ECI1,0.018247773752238437,1.0124688,COX6C,0.2937784456028987,0.44929785
298,TMEM37,0.47012666284378857,2.4533124,DPYSL4,0.3580697184069038,0.83032525,SEC23A,0.577219187647934,0.3125377,PPID,0.32989824964390013,0.2329057,ZFAND5,0.40342940063351673,0.8009063,PRDX6,0.018372391692662967,0.67421794,ACVR1,0.2939550894673302,1.1682256
299,TFRC,0.4702798513598009,0.75221133,HOXD4,0.3586627397740637,0.5616599,EEPD1,0.5775521193898316,1.3708744,CTBP1,0.33046891987483185,0.48229825,KRAS,0.4072059310300936,0.25021064,HDLBP,0.01849326386799728,0.82583606,ACTR6,0.29404343810541567,0.7747735
300,FKBP4,0.47142964352262184,0.096895374,COMMD8,0.35942138744298835,0.2976751,SKAP2,0.578265848824565,0.069369316,ACBD3,0.33119268542078584,0.5497601,PSMD10,0.4072940074264524,0.29123402,POLR2E,0.018529211239077456,0.7616148,BUB3,0.29475086819425644,0.38463315
301,DNA2,0.4729651082685068,0.7227862,U2AF1,0.36107409672970325,0.15012658,VPS41,0.5783134455297729,0.59847933,H3F3B,0.33165032828563146,0.12107298,EPN2,0.40760236425851804,0.9372024,IDH3A,0.01875072598767295,1.2720228,PIGQ,0.2962579413078843,2.688678
302,N6AMT1,0.4741954591206703,0.45484084,PDZRN3,0.36140520967994305,0.9685088,CDC25B,0.5783610440769396,0.42526025,COPE,0.33195565051929443,0.2491542,ATG4A,0.40760236425851804,0.97365934,GSPT2,0.018800770999633815,0.9038067,NUP188,0.29768106544679696,1.0171701
303,TMEM116,0.4745803041114097,3.6364305,FITM2,0.36167023706706514,1.2022315,COPA,0.5787418987456477,0.15913334,STRAP,0.33210837973076834,0.27150896,KANSL3,0.40932289816409106,0.91806215,ZCCHC10,0.0189286858221915,1.5150555,RP2,0.29848357708945583,2.9527712
304,WDHD1,0.4750423444325854,0.6002774,MTREX,0.36176965373670467,0.3332514,COL4A1,0.5788371308212454,0.5985254,ZNF593,0.33405965605723276,0.22300696,TLE1,0.4099415780539213,0.90066046,CCT6A,0.01896537241876731,0.4959808,RPL11,0.29866210901484314,0.26822302
305,ISCA2,0.4761213980298882,0.47454002,UQCRH,0.36213432804376167,0.10008446,RAD17,0.5808863987286257,1.0735413,CD164,0.3349804566923935,0.2865829,MRPL32,0.41007422460566256,0.6408314,C1D,0.01918680036957925,1.0196167,HMOX2,0.29884071221933695,1.3566486
306,SLC15A4,0.47623709054036845,0.8084963,CD2AP,0.3637948396271755,0.26128384,MYL6,0.5819361730013755,0.12809792,RIOK2,0.33528775327052296,0.6450117,CBX1,0.41135778938084944,0.28254297,NUDC,0.019247157966992695,0.61162436,GSK3B,0.29901938670503836,1.3076398
307,DLX5,0.48033476539312747,0.51834375,SP8,0.3644603754819532,0.48020664,NBL1,0.5821271362494334,0.96306753,DPY30,0.3362492248824146,0.5123446,DNAJA2,0.4119339536955795,0.13991728,ACTG1,0.01954201675180015,0.31988055,ARPC5,0.30215773095229326,0.72228265
308,VAMP1,0.4813427823046901,0.4226268,RFXAP,0.36773248946221737,0.38634303,SMARCA4,0.5826524360535721,0.4594511,BRD7,0.3370582306268466,0.39930558,JCAD,0.4129100907020442,0.5410383,TTC39A,0.01964590889200961,2.7061126,ADAM12,0.30215773095229326,2.5634356
309,EXOSC8,0.4819248538679646,0.35146576,ZEB2,0.3679669099274868,0.47407845,ABRAXAS1,0.5828912817988059,0.537575,FANCL,0.3382161220083919,0.8316319,LRRN1,0.41353198169535865,1.5319408,CDK6,0.01991733100600576,1.4002312,FKBP1A,0.30640643692044245,0.31117907
310,CYP1B1,0.4825461519239973,1.4803388,PSMC5,0.3688384289008043,0.22102964,DLC1,0.583177956967237,0.34790495,COX7A2L,0.33960895919053313,0.3488349,RYK,0.41393206142221906,0.2884399,PDCD4,0.020047037999609888,0.89725065,CNOT1,0.3064972629641184,0.78618515
311,CPLANE2,0.4829735467019357,0.20695405,AUP1,0.36887197448503406,0.6082212,NDUFS5,0.5832257425524234,0.086038455,EIF4H,0.3400740544766562,0.117250904,RDH10,0.4164265883746393,0.90135205,PRKAG2,0.020177481613887428,1.170299,HMBS,0.30695166075453706,1.2828317
312,EMC1,0.4845683733360424,0.40053344,PANK2,0.3690397308728991,0.90032697,CRTAP,0.5833691102597998,0.966718,SIVA1,0.3406559974075265,0.6357997,TMEM123,0.4164712139621105,0.63475686,SGF29,0.020235693889989345,1.3954548,GRAMD4,0.3084999491808983,2.6776695
313,HNRNPAB,0.48468517992210514,0.06719671,TUBB2B,0.3699800432849585,0.13370231,TMEM128,0.5839427452887969,0.7654907,LCMT1,0.3411997193255806,1.135996,EIF2D,0.4171409363039825,0.536389,LDHB,0.0205535636258399,0.2627026,AKR1B10L1,0.3114283622151507,0.72263867
314,SLC2A1,0.48511360124206915,0.23755036,UEVLD,0.37429754468636445,1.3487036,GAREM1,0.5843253144971217,5.011641,RCHY1,0.3413163034114216,0.8706794,FBXW7,0.41776658298209546,0.3513363,INPP5E,0.020597917772733888,1.4930027,SNRPG,0.3122552705241146,0.31027475
315,AFG3L2,0.4862830646648292,0.8641561,SRSF5,0.3744668270447947,0.25673288,GNA11,0.5843731438474313,0.5079841,PRELID3B,0.3415884321005772,0.48765355,RFC3,0.41960201125284124,0.2979968,GUCA2A,0.020607785576418756,5.0879993,ATP5MC2,0.31280734575237645,0.29893252
316,LSM1,0.48655615863982105,0.45343044,UBB,0.3758227896168085,0.12956788,HCCS,0.5845644794622292,0.45037633,HDGFL3,0.34404383590992704,0.6306144,MTF2,0.41978133087898406,0.4472221,EPRS,0.02081596374733816,0.59528846,UBE4B,0.3133600634157713,1.1605914
317,CACNG3,0.48690740123739173,0.51275086,NUDCD3,0.3776921811135202,0.7475697,MAFF,0.5847080002930143,0.4760992,SMC4,0.3445128062050805,0.35825688,KCNN1,0.4207683936378127,0.68611884,MRPL13,0.02096077346831001,1.065871,SACS,0.314559822321802,2.3639736
318,PHF20L1,0.48721973184457557,0.13382533,ATP5PF,0.37793051402439115,0.11921334,WDR91,0.5850908025932557,0.3425814,RAB1A,0.3453736439021482,0.12540577,FKBP2,0.42157700299102474,0.67088705,ARID3A,0.021096384675404412,0.75980645,SEPT2L,0.3176189097065626,0.7161038
319,CSGALNACT2,0.48831374046970555,1.6550652,MTDH,0.37827115028937996,0.20669423,TCF25,0.5866231751699222,0.32920966,GNL2,0.34545196981332704,0.46951726,SPPL3,0.42346729876241596,0.58491296,SCP2,0.02129869510997213,0.82273924,TEX264,0.3184565793322637,2.381887
