index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
3810-0,0,bcGGVM,6s1,2403.0,None,d3,d3,1114,2403.0,0.23455079,-0.16436303,S,5
3811-0,0,bcHYFU,6s1,1215.0,None,d3,d3,682,1215.0,-0.21973749,0.23967929,G2M,3
3812-0,0,bcEIOO,6s1,863.0,None,d3,d3,595,863.0,0.04806115,0.47221807,G2M,0
3814-0,0,bcBZWI,6s1,756.0,None,d3,d3,575,756.0,-0.25637716,-0.35582557,G1,4
3937-0,0,bcBNNN,6s1,3203.0,None,d3,d3,1318,3203.0,0.08004172,-0.0032972489,S,5
3938-0,0,bcBBHQ,6s1,1265.0,None,d3,d3,686,1265.0,-0.021609843,0.07775246,G2M,4
3939-0,0,bcACMJ,6s1,1093.0,None,d3,d3,631,1093.0,-0.16709065,0.07777547,G2M,0
3940-0,0,bcGQDN,6s1,880.0,None,d3,d3,605,880.0,-0.029727928,-0.0015033744,G1,4
3941-0,0,bcCARV,6s1,750.0,None,d3,d3,568,750.0,-0.119903415,0.028124157,G2M,4
4064-0,0,bcFVGS,6s1,3263.0,None,d3,d3,1287,3263.0,-0.028607972,-0.039533816,G1,5
4065-0,0,bcCLGP,6s1,1272.0,None,d3,d3,698,1272.0,0.48681843,-0.1495805,S,1
4066-0,0,bcIHBD,6s1,968.0,None,d3,d3,550,968.0,0.17769508,0.027755477,S,1
4067-0,0,bcIGDF,6s1,740.0,None,d3,d3,566,740.0,0.058421083,0.46034074,G2M,1
4069-0,0,bcDPCK,6s1,746.0,None,d3,d3,562,746.0,-0.22370912,-0.103676796,G1,2
4191-0,0,bcEZVH,6s1,3470.0,None,d3,d3,1383,3470.0,0.2657788,-0.30731592,S,5
4192-0,0,bcETQY,6s1,1158.0,None,d3,d3,656,1158.0,-0.22764274,-0.1361541,G1,5
4193-0,0,bcCLPG,6s1,783.0,None,d3,d3,601,783.0,-0.023389079,0.08888394,G2M,3
4194-0,0,bcDNCK,6s1,721.0,None,d3,d3,602,721.0,-0.09734549,-0.0052817953,G1,3
4318-0,0,bcAVWV,6s1,3356.0,None,d3,d3,1186,3356.0,-0.18232946,-0.16261925,G1,2
4319-0,0,bcAZRV,6s1,1277.0,None,d3,d3,702,1277.0,-0.016298756,0.08626816,G2M,2
4320-0,0,bcAFAC,6s1,980.0,None,d3,d3,632,980.0,-0.013180479,-0.04539185,G1,5
